,y_train
1482,35.73
1483,36.03
1484,36.36
1485,36.07
1486,34.91
1487,35.22
1488,35.46
1489,36.54
1490,36.6
1491,36.38
1492,36.46
1493,36.03
1494,35.85
1495,35.88
1496,35.9
1497,35.78
1498,35.58
1499,36.88
1500,37.5
1501,37.23
1502,37.38
1503,37.35
1504,37.32
1505,36.95
1506,37.15
1507,37.14
1508,37.03
1509,37.17
1510,36.66
1511,36.93
1512,37.49
1513,37.41
1514,36.75
1515,36.68
1516,36.14
1517,35.72
1518,36.13
1519,35.97
1520,35.87
1521,36.39
1522,36.49
1523,35.68
1524,34.53
1525,33.81
1526,33.61
1527,33.29
1528,32.95
1529,32.39
1530,32.41
1531,32.85
1532,32.75
1533,32.43
1534,32.77
1535,32.51
1536,33.45
1537,32.6
1538,32.25
1539,31.5
1540,32.2
1541,32.47
1542,33.8
1543,34.1
1544,33.68
1545,33.63
1546,33.86
1547,34.55
1548,34.63
1549,34.85
1550,34.87
1551,34.88
1552,35.08
1553,35.12
1554,35.06
1555,35.27
1556,35.07
1557,35.21
1558,35.15
1559,35.46
1560,35.56
1561,35.65
1562,35.95
1563,34.61
1564,35.28
1565,37.16
1566,36.66
1567,35.85
1568,35.6
1569,35.9
1570,35.62
1571,35.54
1572,35.75
1573,35.6
1574,35.62
1575,35.03
1576,34.6
1577,35.42
1578,34.86
1579,34.63
1580,35.1
1581,34.54
1582,33.81
1583,34.12
1584,34.8
1585,35.36
1586,35.84
1587,36.21
1588,35.91
1589,35.48
1590,35.56
1591,34.97
1592,33.68
1593,33.12
1594,32.7
1595,32.8
1596,32.76
1597,32.75
1598,33.95
1599,34.12
1600,34.77
1601,34.24
1602,33.98
1603,33.72
1604,33.22
1605,32.2
1606,31.09
1607,31.82
1608,30.75
1609,31.65
1610,31.51
1611,32.19
1612,32.36
1613,32.27
1614,32.92
1615,32.15
1616,31.7
1617,31.15
1618,31.14
1619,31.34
1620,31.21
1621,32.0
1622,31.89
1623,32.42
1624,32.63
1625,33.12
1626,33.77
1627,33.34
1628,32.38
1629,30.36
1630,30.43
1631,29.85
1632,28.37
1633,26.82
1634,26.56
1635,26.7
1636,27.18
1637,26.34
1638,26.95
1639,26.86
1640,27.2
1641,27.35
1642,28.17
1643,27.97
1644,28.27
1645,27.5
1646,27.19
1647,27.94
1648,27.91
1649,28.6
1650,29.15
1651,29.3
1652,29.11
1653,28.75
1654,28.4
1655,29.11
1656,29.48
1657,29.14
1658,29.41
1659,29.06
1660,29.43
1661,29.23
1662,28.83
1663,27.8
1664,27.92
1665,27.78
1666,27.5
1667,27.79
1668,27.79
1669,27.74
1670,28.09
1671,27.56
1672,27.59
1673,27.65
1674,27.48
1675,27.79
1676,27.73
1677,28.14
1678,29.0
1679,29.66
1680,29.38
1681,29.32
1682,31.87
1683,32.56
1684,32.29
1685,32.08
1686,32.26
1687,32.76
1688,33.13
1689,33.01
1690,33.66
1691,25.95
1692,26.6
1693,26.7
1694,26.87
1695,26.91
1696,26.27
1697,26.23
1698,26.31
1699,26.14
1700,25.8
1701,25.99
1702,25.8
1703,27.51
1704,27.05
1705,27.23
1706,27.8
1707,27.86
1708,27.62
1709,27.8
1710,27.69
1711,27.71
1712,28.32
1713,27.75
1714,28.2
1715,28.04
1716,27.93
1717,28.27
1718,28.16
1719,28.32
1720,28.33
1721,29.02
1722,29.11
1723,29.52
1724,29.0
1725,29.42
1726,29.5
1727,29.37
1728,29.69
1729,29.57
1730,29.23
1731,28.97
1732,29.12
1733,28.66
1734,28.72
1735,28.8
1736,28.32
1737,28.13
1738,28.4
1739,27.97
1740,28.15
1741,28.48
1742,29.01
1743,29.02
1744,29.5
1745,29.03
1746,29.43
1747,28.63
1748,28.58
1749,27.86
1750,28.06
1751,27.81
1752,28.6
1753,29.05
1754,31.0
1755,30.69
1756,30.54
1757,30.7
1758,31.12
1759,30.93
1760,30.92
1761,30.52
1762,30.83
1763,31.18
1764,31.48
1765,32.13
1766,32.18
1767,32.29
1768,33.13
1769,33.14
1770,33.47
1771,33.41
1772,33.58
1773,34.0
1774,33.66
1775,33.79
1776,33.36
1777,33.03
1778,33.36
1779,33.48
1780,33.93
1781,32.59
1782,33.25
1783,33.29
1784,33.27
1785,33.57
1786,33.4
1787,33.63
1788,33.47
1789,32.86
1790,33.42
1791,33.7
1792,33.68
1793,34.0
1794,34.48
1795,35.1
1796,34.93
1797,33.7
1798,33.35
1799,34.15
1800,34.68
1801,34.73
1802,33.94
1803,34.8
1804,34.94
1805,35.45
1806,34.8
1807,35.17
1808,34.68
1809,34.7
1810,34.22
1811,32.46
1812,32.68
1813,32.57
1814,32.11
1815,32.31
1816,32.34
1817,32.6
1818,31.73
1819,32.81
1820,32.71
1821,32.45
1822,32.88
1823,32.88
1824,33.53
1825,34.26
1826,34.2
1827,34.44
1828,34.13
1829,34.62
1830,34.2
1831,34.21
1832,34.3
1833,33.92
1834,34.4
1835,34.07
1836,33.85
1837,33.31
1838,33.69
1839,33.58
1840,33.28
1841,33.14
1842,33.64
1843,34.05
1844,33.68
1845,33.46
1846,33.41
1847,33.12
1848,33.32
1849,33.38
1850,34.1
1851,35.0
1852,35.32
1853,35.74
1854,35.13
1855,34.38
1856,34.6
1857,35.0
1858,35.49
1859,34.72
1860,34.56
1861,34.1
1862,34.07
1863,34.46
1864,34.61
1865,34.53
1866,34.07
1867,33.8
1868,33.2
1869,33.0
1870,32.87
1871,32.35
1872,32.23
1873,31.67
1874,31.95
1875,31.74
1876,31.09
1877,31.33
1878,30.27
1879,31.21
1880,30.3
1881,29.67
1882,30.27
1883,29.84
1884,31.03
1885,30.95
1886,31.21
1887,31.33
1888,31.42
1889,31.52
1890,31.76
1891,31.82
1892,31.18
1893,30.8
1894,30.52
1895,30.12
1896,29.43
1897,29.18
1898,29.02
1899,29.4
1900,29.29
1901,29.69
1902,29.56
1903,29.67
1904,29.46
1905,28.43
1906,28.0
1907,27.95
1908,27.51
1909,27.12
1910,27.0
1911,26.4
1912,24.77
1913,24.09
1914,24.25
1915,22.98
1916,23.88
1917,24.2
1918,24.42
1919,24.57
1920,23.8
1921,23.05
1922,23.19
1923,23.3
1924,23.74
1925,24.29
1926,23.82
1927,24.96
1928,25.2
1929,25.35
1930,25.35
1931,24.31
1932,23.46
1933,24.1
1934,25.23
1935,24.73
1936,24.32
1937,25.25
1938,25.36
1939,26.03
1940,25.81
1941,25.22
1942,25.4
1943,25.87
1944,23.99
1945,24.11
1946,24.99
1947,25.54
1948,25.62
1949,25.6
1950,24.6
1951,23.9
1952,22.97
1953,24.07
1954,24.6
1955,25.42
1956,25.74
1957,25.73
1958,26.09
1959,25.8
1960,27.07
1961,26.98
1962,26.3
1963,26.57
1964,26.03
1965,26.4
1966,27.31
1967,28.05
1968,28.09
1969,28.52
1970,28.15
1971,28.48
1972,28.44
1973,28.88
1974,29.65
1975,29.97
1976,29.67
1977,30.14
1978,27.4
1979,28.22
1980,28.17
1981,28.35
1982,28.13
1983,28.24
1984,28.48
1985,27.72
1986,26.85
1987,26.53
1988,26.05
1989,25.72
1990,26.49
1991,26.69
1992,26.8
1993,26.93
1994,27.35
1995,27.43
1996,28.01
1997,27.88
1998,27.74
1999,27.43
2000,27.8
2001,27.55
2002,26.8
2003,26.8
2004,27.77
2005,28.06
2006,27.86
2007,28.29
2008,28.05
2009,28.04
2010,28.25
2011,28.45
2012,28.02
2013,28.26
2014,28.63
2015,28.5
2016,28.07
2017,28.37
2018,28.74
2019,28.61
2020,29.16
2021,29.43
2022,29.11
2023,29.17
2024,29.27
2025,29.91
2026,30.28
2027,30.33
2028,30.17
2029,30.59
2030,31.15
2031,30.5
2032,30.69
2033,31.18
2034,31.2
2035,31.24
2036,31.7
2037,31.61
2038,31.74
2039,32.2
2040,32.09
2041,32.28
2042,32.42
2043,32.2
2044,32.49
2045,32.45
2046,32.96
2047,32.74
2048,32.45
2049,32.21
2050,32.91
2051,33.18
2052,33.36
2053,33.21
2054,32.86
2055,33.0
2056,33.56
2057,32.8
2058,32.13
2059,32.68
2060,33.19
2061,33.5
2062,33.79
2063,34.24
2064,33.86
2065,34.06
2066,34.08
2067,33.42
2068,33.1
2069,33.31
2070,33.71
2071,33.99
2072,34.33
2073,34.52
2074,34.32
2075,34.69
2076,34.14
2077,34.52
2078,33.98
2079,33.17
2080,33.02
2081,33.15
2082,32.97
2083,33.02
2084,33.4
2085,33.22
2086,33.13
2087,33.58
2088,33.2
2089,32.92
2090,32.84
2091,32.66
2092,32.64
2093,32.99
2094,33.38
2095,33.46
2096,33.59
2097,33.63
2098,33.77
2099,32.99
2100,32.48
2101,32.29
2102,32.29
2103,32.73
2104,31.9
2105,31.81
2106,32.23
2107,32.44
2108,32.38
2109,32.1
2110,31.45
2111,31.97
2112,31.7
2113,32.17
2114,31.64
2115,31.82
2116,31.83
2117,31.34
2118,30.37
2119,29.88
2120,30.19
2121,30.91
2122,32.06
2123,31.25
2124,31.83
2125,31.34
2126,31.65
2127,31.3
2128,31.75
2129,32.27
2130,32.84
2131,30.62
2132,31.82
2133,31.4
2134,31.26
2135,30.9
2136,31.28
2137,31.26
2138,31.74
